Species;Species_used_for_morpho;EdHd;MoBd;JlHd;EhBd;BlBd;HdBd;PFiBd;PFlBl;CFdCPd;Length
Abramis brama;Abramis brama;0.397435897;0.582905087;0.193730769;0.636374818;2.587183093;0.417105608;0.427800624;0.18413182;3.228958661;82
Acanthopagrus australis;Acanthopagrus butcheri;0.257335892;0.312709677;0.399996002;0.506912442;2.387663594;0.461087558;0.387096774;0.381928615;2.425312232;60
Achondrostoma arcasii;Achondrostoma arcasii;0.383017098;0.359907758;0.392035207;0.434414978;3.492962902;0.507366533;0.206647267;0.189963951;2.959343127;10.4
Alburnoides bipunctatus;Alburnoides bipunctatus;0.623262053;0.488984023;0.580383492;0.525739563;3.512796769;0.451359456;0.268386674;0.204675647;3.342143807;16
Alburnus alburnus;Alburnus alburnus;0.540985824;0.559971056;0.441100168;0.559971056;4.253526855;0.429576461;0.2766026;0.152191702;1.942321838;25
Alosa agone;Alosa fallax;0.367743118;0.555970246;0.888030782;0.590447952;3.632911556;0.470426748;0.193937095;0.135772914;3.687010528;60
Alosa chrysochloris;Alosa chrysochloris;0.39763413;0.642865555;0.737591048;0.652789513;3.794577156;0.561015951;0.18814041;0.146598491;2.570926861;50
Ambassis agassizii;Ambassis agassizii;0.496479313;0.604274606;0.555532408;0.510690673;2.758243586;0.598802445;0.307522142;0.230217237;2.792177326;8
Ambassis marianus;Ambassis marianus;0.527202703;0.499904068;0.368851351;0.430526243;2.724461056;0.567915826;0.338685045;0.117670423;2.660641509;10
Ambloplites rupestris;Ambloplites rupestris;0.385614211;0.417820293;0.497698274;0.524442688;2.514466546;0.607382193;0.342235628;0.196628382;2.313312287;43
Ameiurus brunneus;Ameiurus brunneus;0.346760551;0.306917386;0.458255224;0.530260362;4.230844064;0.559919101;0.32942065;0.165453434;1.978334006;29
Ameiurus melas;Ameiurus melas;0.210539107;0.404241848;0.326590325;0.48507337;4.10148913;0.570236413;0.389497283;0.157155275;2.213600411;66
Ameiurus natalis;Ameiurus natalis;0.21082667;0.576156738;0.45424942;0.685748816;5.294514852;0.687800064;0.300934704;0.161264652;1.885352967;47
Ameiurus nebulosus;Ameiurus nebulosus;0.268012891;0.345555201;0.503887887;0.463754674;3.969638561;0.490174198;0.347816005;0.153249389;1.839310528;55
Amia calva;Amia calva;0.239979202;0.426656985;0.98276816;0.566364057;4.835800737;0.564385118;0.203431917;0.125053001;1.36475708;109
Ammocrypta clara;Ammocrypta clara;0.590915319;0.157762307;0.659975336;0.425466729;7.183510638;0.570869837;0.425466729;0.14737824;1.933787808;7
Amniataba percoides;Amniataba percoides;0.518725926;0.276024412;0.388874074;0.43855936;2.598045877;0.405856357;0.312160659;0.195897189;2.608495982;18
Anguilla anguilla;Anguilla anguilla;0.249665422;0.720516313;0.394942594;0.821233167;16.2191429;0.634091873;0.604546774;0.04466753;0;133
Anguilla australis;Anguilla australis;0.311512112;0.500616174;0.374647383;0.573910584;11.91949332;0.451180832;0.573910584;0.037081167;0;130
Anguilla reinhardtii;Anguilla reinhardtii;0.292541908;0.386335896;0.593610915;0.487382522;8.025158672;0.366791773;0.52447211;0.065195694;0;200
Anguilla rostrata;Anguilla rostrata;0.31401802;0.152306862;1.064214618;0.32608484;16.53261822;0.393905601;0.577587199;0.037438892;0;152
Aphredoderus sayanus;Aphredoderus sayanus;0.321428571;0.572288456;0.287946429;0.581351168;3.188930891;0.542793448;0.409644276;0.179561218;2.404761905;14
Aplodinotus grunniens;Aplodinotus grunniens;0.381944444;0.221978663;0.545482639;0.437381228;2.771378151;0.42003019;0.410993707;0.223393187;2.734042553;95
Arrhamphus sclerolepis;Arrhamphus sclerolepis;0.634146341;0.543557005;0.526512195;0.517951565;6.589369232;0.569009784;0.697411699;0.130548424;3.875;36
Astyanax mexicanus;Astyanax mexicanus;0.440611385;0.516996332;0.262159846;0.493886355;2.803642439;0.480657768;0.141085866;0.148993573;2.981330328;12
Atherina presbyter;Atherina boyeri;0.550913043;0.772539198;0.536231884;0.725472123;4.808936533;0.691278866;0.725472123;0.177388105;3.428571429;20
Awaous acritosus;Awaous ocellaris;0.259216057;0.457224137;0.673980263;0.706078013;4.475135401;0.590940423;0.49408611;0.139384604;2.083200476;13
Barbatula barbatula;Barbatula barbatula;0.30066;0;NA;0.489219782;6.724161164;0.673763644;0;0.144789579;1.754811321;21
Barbatula quignardi;Barbatula barbatula;0.30066;0;NA;0.489219782;6.724161164;0.673763644;0;0.144789579;1.754811321;21
Barbus barbus;Barbus barbus;0.23787234;0;0.298638298;0.371264757;4.068372397;0.388291764;0.239724726;0.155661105;2.304620804;120
Barbus haasi;Barbus haasi;0.333333333;0.31583474;0.402466667;0.577246748;4.180501878;0.489902564;0.352392358;0.184914063;2.500125;30
Barbus meridionalis;Barbus meridionalis;0.369288025;0.389645339;0.424999824;0.627147112;4.429396308;0.529538889;0.303137527;0.195501026;2.20932337;25
Blicca bjoerkna;Blicca bjoerkna;0.503950374;0.36573788;0.331276177;0.459238245;2.485815404;0.354092467;0.308156845;0.17880226;2.999490653;36
Campostoma anomalum;Campostoma anomalum;0.2304875;0.204529035;0.4791;0.540899385;4.069878145;0.642188579;0.22954228;0.153619026;2.45290566;22
Campostoma oligolepis;Campostoma oligolepis;0.2075996;0.110064891;0.463607179;0.433969409;3.998786899;0.609792104;0.188743188;0.129409461;2.269095928;22
Carassius auratus;Carassius auratus;0.27027027;0.327172908;0.254972973;0.42197838;2.645995456;0.396870089;0.238048758;0.175272227;2.016162906;59
Carassius carassius;Carassius carassius;0.324293648;0.459792912;0.278568244;0.532474758;2.081192046;0.381243561;0.267530394;0.185643105;1.638903004;64
Carassius gibelio;Carassius gibelio;0.45980479;0.46399493;0.441120659;0.516476304;2.438314942;0.422883904;0.238702184;0.194932843;2.102632479;45
Carpiodes carpio;Carpiodes carpio;0.324786325;0.144056636;0.384136752;0.383156927;3.337676726;0.407628577;0.157679095;0.167496868;2.607196429;64
Carpiodes cyprinus;Carpiodes cyprinus;0.345323741;0.152401953;0.235985612;0.438339662;2.958886063;0.489619365;0.092788153;0.191733432;2.748488331;66
Carpiodes velifer;Carpiodes velifer;0.38966268;0.315598876;0.435958546;0.417264842;2.456127009;0.397542365;0.110083506;0.179895343;1.652119685;50
Catostomus commersonii;Catostomus commersonii;0.308510638;0.075563026;NA;0.500010462;4.477789325;0.65561422;0.171247829;0.186912394;2.546542274;65
Chelon labrosus;Chelon labrosus;0.421724147;0.495619266;0.21572883;0.534372112;3.918653099;0.392515837;0.617923579;0.168065876;3.044644887;75
Chelon ramada;Chelon ramada;0.333333333;0.623279002;0.360490196;0.52997701;4.34066076;0.439128975;0.573287182;0.140881139;2.681247434;70
Chondrostoma nasus;Chondrostoma nasus;0.363636364;0.321312998;0.313872727;0.468442813;3.959408526;0.418782789;0.276320498;0.15578047;2.31372549;50
Cobitis taenia;Cobitis taenia;0.286353167;0;NA;0.618919452;6.750121118;0.802443882;0.161490015;0.114149461;1.9990005;14
Coregonus albula;Coregonus albula;0.59387889;0.552868056;0.649809399;0.552868056;4.479430556;0.4445;0.267979167;0.150450051;2.909159074;45
Cottus bairdii;Cottus bairdii;0.385627806;0.435251994;0.577723645;0.75187192;4.560691045;0.748890462;0.75187192;0.298745377;2.676038174;15
Cottus carolinae;Cottus carolinae;0.538563346;0.358147097;0.757011768;0.663106033;4.620302101;0.692045246;0.59219103;0.286074536;2.316485951;18
Cottus gobio;Cottus gobio;0.402236592;0.5019123;0.490233659;0.702836958;5.987026227;0.779231573;0.497334468;0.229832325;2.699277598;18
Cottus poecilopus;Cottus poecilopus;0.329981551;0.433467825;0.868717169;0.680627033;4.91996377;0.730855531;0.467701429;0.25230542;2.602694192;15
Craterocephalus marjoriae;Craterocephalus marjoriae;0.610774049;0.323849984;0.499762864;0.454902979;3.803013435;0.610609859;0.647504627;0.157448505;1.712873238;8
Craterocephalus stercusmuscarum;Craterocephalus stercusmuscarum;0.616854227;0.43639795;0.384244962;0.374733386;5.209170398;0.640040648;0.549330534;0.121343863;3.416409317;7
Ctenopharyngodon idella;Ctenopharyngodon idella;0.332973401;0.498654092;0.498369612;0.519795173;4.021924084;0.364372974;0.304157707;0.191398274;2.35595279;150
Cycleptus elongatus;Cycleptus elongatus;0.274193548;0;0.210290323;0.314704258;4.248591938;0.402767402;0.158177153;0.148441836;1.934759881;93
Cyprinella galactura;Cyprinella galactura;0.405388971;0.389543416;0.500608083;0.465020717;4.145951222;0.505136484;0.17918649;0.166260006;2.417013423;15
Cyprinella lutrensis;Cyprinella lutrensis;0.509870558;0.32721418;0.44082163;0.431196217;3.479371938;0.458913598;0.206441166;0.192250141;3.221512519;9
Cyprinella spiloptera;Cyprinella spiloptera;0.403492845;0.553650553;0.42249648;0.553650553;3.696972329;0.471444611;0.19916508;0.171389262;2.716643102;12
Cyprinella venusta;Cyprinella venusta;0.490818503;0.477607597;0.4390022;0.52538652;4.506285107;0.586050109;0.215064726;0.157524414;2.698508362;19
Cyprinodon pecosensis;Cyprinodon pecosensis;0.409638095;0.490224405;0.278152381;0.534131017;2.849703418;0.594863776;0.260975237;0.189877218;1.63859062;5
Cyprinus carpio;Cyprinus carpio;0.182045455;0.307949315;0.346172727;0.510936185;3.481135273;0.48104781;0.258020926;0.178656382;2.637145238;120
Dicentrarchus labrax;Dicentrarchus labrax;0.4338853;0.468574271;0.709390779;0.572333247;4.256795571;0.588541396;0.364789342;0.128637131;2.482610395;103
Dorosoma cepedianum;Dorosoma cepedianum;0.378720949;0.444745653;0.329398187;0.478791768;2.779845316;0.274628915;0.287958974;0.180492429;3.314939167;57
Dorosoma petenense;Dorosoma petenense;0.416666667;0.521677715;0.220087963;0.540722766;2.98532351;0.422007702;0.248845828;0.182166943;2.6905;22
Erimystax insignis;Erimystax insignis;0.482116533;0.211963876;0.264993405;0.543456047;5.548786213;0.71192245;0.315612141;0.173948317;3.22195734;NA
Esox americanus;Esox americanus;0.372370968;0.640558211;1.327096774;0.744244822;6.450195044;0.681281248;0.155782649;0.088356048;2.237455965;39
Esox lucius;Esox lucius;0.279515059;0.485175825;1.387489313;0.620001726;6.775381516;0.673753952;0.130070594;0.102102069;3.020697936;150
Esox masquinongy;Esox masquinongy;0.294387285;0.446873451;1.314136387;0.566998037;6.598839229;0.546651367;0.072206675;0.091179772;2.723833544;183
Etheostoma asprigene;Etheostoma asprigene;0.514634511;0.484007041;0.428283432;0.59948383;4.424318551;0.580929901;0.416156702;0.214599498;1.789339988;7
Etheostoma blennioides;Etheostoma blennioides;0.397856401;0.166635401;0.33812632;0.594983726;5.840450977;0.690483337;0.508732519;0.284115291;2.141547981;17
Etheostoma caeruleum;Etheostoma caeruleum;0.44752457;0.422691676;0.471627613;0.603726159;3.909328028;0.480023999;0.393179235;0.268192561;2.853544118;8
Etheostoma camurum;Etheostoma camurum;0.372253099;0.432487009;0.422749576;0.608106245;4.293670485;0.592744214;0.415574302;0.218392207;1.57136395;8
Etheostoma chlorobranchium;Etheostoma chlorobranchium;0.343838081;0.441680504;0.424514539;0.689274372;4.085016686;0.569112834;0.477123603;NA;1.667593014;11
Etheostoma cinereum;Etheostoma cinereum;0.472336874;0.263171801;0.420622155;0.617802482;5.142824989;0.644889811;0.459476651;0.192192718;1.656722193;NA
Etheostoma exile;Etheostoma exile;0.507950352;0.375217039;0.421133848;0.573609863;5.410309656;0.650242996;0.474544328;0.247037081;3.028297082;7
Etheostoma flabellare;Etheostoma flabellare;0.3877;0.374191108;0.375;0.506646762;4.08668486;0.540387187;0.43230975;0.249783058;2.329290943;8
Etheostoma jessiae;Etheostoma jessiae;0.429079965;0.302096265;0.532065895;0.613665657;5.794951883;0.704166436;0.429129469;0.248874595;2.850538538;7
Etheostoma kennicotti;Etheostoma kennicotti;0.426221506;0.427330317;0.520056252;0.564497738;4.692328054;0.58399095;0.423174208;0.225814835;2.277222699;8
Etheostoma nigrum;Etheostoma nigrum;0.435857143;0.381173652;0.427396825;0.603186296;4.962818447;0.5100017;0.440641469;0.220234173;2.640049991;7
Etheostoma rufilineatum;Etheostoma rufilineatum;0.399897848;0.410569315;0.55579549;0.62301357;4.574696388;0.568183321;0.488740807;0.208174842;1.311921168;8
Etheostoma swannanoa;Etheostoma swannanoa;0.392765092;0.301493234;0.345240787;0.570765282;4.205786281;0.515982268;0.429234718;0.236674803;2.005704971;9.6
Etheostoma tennesseense;Etheostoma tennesseense;0.386298608;0.432656699;0.306946072;0.669084316;4.087219755;0.563901225;0.424051508;NA;2.735749904;NA
Etheostoma vulneratum;Etheostoma vulneratum;0.353451399;0.501845334;0.319225113;0.65168402;4.359302439;0.573434521;0.483196461;0.205470504;1.782876769;8.1
Etheostoma zonale;Etheostoma zonale;0.34132;0.411331402;0.364005;0.629249415;4.254642886;0.5576203;0.410796087;0.227598296;2.696435173;8
Fundulus catenatus;Fundulus catenatus;0.510178052;0.358459621;0.278501097;0.522369984;4.826870829;0.572009724;0.375528571;0.150958363;1.83740391;20
Fundulus diaphanus;Fundulus diaphanus;0.538680769;0.479214184;0.172003846;0.58715416;4.689666284;0.594206939;0.424298036;0.167607131;2.089562069;13
Fundulus notatus;Fundulus notatus;0.563897857;0.681734649;0.286430049;0.608912781;3.961130538;0.516458401;0.397410717;0.162060352;2.020754127;8
Fundulus zebrinus;Fundulus zebrinus;0.445132448;0.558563407;0.18523352;0.659712906;4.273502076;0.578589273;0.412253291;0.135350486;1.718153404;8
Gambusia affinis;Gambusia affinis;0.580510957;0.635737221;0.322145956;0.544961563;4.183563996;0.545043593;0.464943633;0.203100698;1.874924668;7
Gambusia holbrooki;Gambusia holbrooki;0.536846012;0.57047554;0.280091554;0.510377053;3.218928148;0.464835915;0.480104957;0.198412574;2.181679666;8
Gasterosteus aculeatus;Gasterosteus aculeatus;0.636972122;0.503115726;0.437594711;0.55274761;4.156269684;0.570325752;0.488282703;0.167548242;3.961562315;11
Glossamia aprion;Glossamia aprion;0.468682484;0.325845897;0.806031522;0.448447578;2.565972858;0.510890354;0.428289487;0.214575982;2.516675435;18
Gobio gobio;Gobio gobio;0.441565619;0.173043232;0.298397321;0.577226902;4.762858911;0.645405621;0.149628107;0.188987027;1.980330344;20
Gobio lozanoi;Gobio lozanoi;0.453194952;0.243813835;0.206579198;0.565760778;4.067150532;0.558186245;0.216085034;0.192817962;2.564901738;12
Gobio occitaniae;Gobio gobio;0.441565619;0.173043232;0.298397321;0.577226902;4.762858911;0.645405621;0.149628107;0.188987027;1.980330344;20
Gobiomorphus australis;Gobiomorphus australis;0.55719713;0.384272514;0.419186421;0.420458756;4.446102372;0.505361133;0.560039072;0.139461769;1.874086181;18
Gobiomorphus coxii;Gobiomorphus australis;0.55719713;0.384272514;0.419186421;0.420458756;4.446102372;0.505361133;0.560039072;0.139461769;1.874086181;18
Gymnocephalus cernua;Gymnocephalus cernua;0.38019604;0.407016505;0.409782324;0.64738846;4.052312466;0.622727598;0.365360471;0.178858492;3.997734617;25
Hiodon alosoides;Hiodon alosoides;0.552563812;0.496686224;0.581852535;0.490035714;3.598696429;0.517107143;0.265329082;0.200002268;2.35770853;52
Hiodon tergisus;Hiodon tergisus;0.518317472;0.555241849;0.527138944;0.534883163;3.22408072;0.476746011;0.232627095;0.173640555;2.389416329;47
Hybognathus nuchalis;Hybognathus nuchalis;0.487453947;0.36422441;0.363901316;0.51302591;4.155014628;0.491360778;0.250028286;0.188111563;2.192302422;18
Hybognathus placitus;Hybognathus placitus;0.389530192;0.313039343;0.38854777;0.510220493;4.159109382;0.492883701;0.265317769;0.159188858;2.017136407;13
Hybopsis amblops;Hybopsis amblops;0.66489398;0.383831823;0.511327665;0.5866397;4.487894535;0.606271221;0.283507042;0.183366502;2.513909429;10
Hypentelium nigricans;Hypentelium nigricans;0.392110668;0.085863689;NA;0.626671919;4.921009516;0.736614661;0.197764496;0.199559643;2.555307123;61
Hypophthalmichthys molitrix;Hypophthalmichthys molitrix;0.314380608;0.551897427;0.355937805;0.486083791;3.332838854;0.395489567;0.313926665;0.208885865;2.623367121;105
Hypophthalmichthys nobilis;Hypophthalmichthys nobilis;0.203676296;0.678390889;0.683956029;0.507559619;3.414213005;0.509615052;0.329180245;0.205733211;2.848572884;112
Hypseleotris compressa;Hypseleotris compressa;0.442360435;0.493088736;0.316535433;0.52792715;2.92755514;0.498201661;0.458937922;NA;2.51258892;12
Hypseleotris galii;Hypseleotris galii;0.575223554;0.516525643;0.503947869;0.49411735;4.512351673;0.53023291;0.422970707;NA;2.152899824;6
Hypseleotris klunzingeri;Hypseleotris klunzingeri;0.430350119;0.486774327;0.429131043;0.523078995;3.723489737;0.690428361;0.465058862;NA;2.263981144;6
Ictalurus furcatus;Ictalurus furcatus;0.375399827;0.426891171;0.193244409;0.560972041;4.508068327;0.459405325;0.382099991;0.141592322;4.113898051;165
Ictalurus punctatus;Ictalurus punctatus;0.324100187;0.488390593;0.247652458;0.610576951;4.242870388;0.461683521;0.324333682;0.140295608;3.196117814;132
Ictiobus bubalus;Ictiobus bubalus;0.342734255;0.172781798;0.156460145;0.375575795;2.769376615;0.423947788;0.110580351;0.175652372;2.720124909;112
Ictiobus cyprinellus;Ictiobus cyprinellus;0.236382302;0.517014502;0.289722025;0.574395286;3.271618476;0.57477517;0.156740724;0.233957069;2.44818184;123
Ictiobus niger;Ictiobus niger;0.183521923;0.173701465;NA;0.457732368;3.136200032;0.583906342;0.161981981;0.170484405;2.900035806;123
Kuhlia rupestris;Kuhlia rupestris;0.373605846;0.52490001;0.637899017;0.570299941;2.655421383;0.499289512;0.389402477;0.186832259;2.773835634;45
Labidesthes sicculus;Labidesthes sicculus;0.628565998;0.559578758;0.486533503;0.471497705;6.972761485;0.644562285;0.528515611;0.157045455;3.546281655;13
Leiopotherapon unicolor;Leiopotherapon unicolor;0.328617219;0.45387644;0.535554603;0.580084929;2.865350127;0.504844262;0.315546989;0.210113596;2.25940571;31
Lepisosteus oculatus;Lepisosteus oculatus;0.517447799;0.163994652;3.722334993;0.335192513;8.520604278;0.413609626;0.221032086;0.083093326;2.375456884;150
Lepisosteus osseus;Lepisosteus osseus;0.417702324;0.497840077;2.913916818;0.657994382;10.64851028;0.808904572;0.302211477;0.054895659;2.965699566;200
Lepisosteus platostomus;Lepisosteus platostomus;0.533264176;0.63119066;3.767481971;0.574628334;8.4750246;0.425579107;0.305284434;0.102870247;2.500614583;88
Lepomis auritus;Lepomis auritus;0.304964539;0.416639368;0.387744681;0.541623076;2.099393081;0.496665997;0.323861455;0.218364673;2.372348955;30
Lepomis cyanellus;Lepomis cyanellus;0.30877193;0.48164257;0.566470175;0.572431215;2.418047256;0.550433201;0.302440833;0.211780812;2.507163324;31
Lepomis gibbosus;Lepomis gibbosus;0.330129489;0.464434835;0.301593427;0.523731719;2.148928303;0.494616905;0.318648272;0.250377931;2.415496154;40
Lepomis gulosus;Lepomis gulosus;0.432426311;0.639960352;0.558773093;0.656447212;2.380418601;0.473128485;0.320984772;0.234362967;2.828672096;31
Lepomis humilis;Lepomis humilis;0.3984375;0.429411808;0.399125;0.519635589;2.2138215;0.466819355;0.349184525;0.247897519;2.704383792;15
Lepomis macrochirus;Lepomis macrochirus;0.285712472;0.489906007;0.277191891;0.53012832;1.899540662;0.514919493;0.3382264;0.300838867;2.975986278;41
Lepomis megalotis;Lepomis megalotis;0.272805195;0.436860496;0.370188312;0.551248096;2.035674223;0.551921871;0.360738285;0.255103837;2.643664085;24
Lepomis microlophus;Lepomis microlophus;0.319605616;0.362397668;0.323198718;0.467191628;2.300558419;0.495481806;0.308141247;0.300112226;2.126116509;43
Leucaspius delineatus;Leucaspius delineatus;0.472083149;0.47113322;0.472242674;0.433064294;4.33928169;0.680182624;0.12047509;0.15772719;3.089545793;12
Leuciscus aspius;Leuciscus aspius;0.22420979;0.571209678;0.686601399;0.565568455;3.615438472;0.410322921;0.326789209;0.196017149;2.014926471;100
Leuciscus burdigalensis;Leuciscus burdigalensis;0.408502122;0.319111824;0.369156594;0.497896326;4.088354127;0.485192651;0.250707591;0.166581396;2.993740354;40
Leuciscus idus;Leuciscus idus;0.508125952;0.507530524;0.427041011;0.525205221;3.714253961;0.482934643;0.219592394;0.180488862;2.515359214;76
Leuciscus leuciscus;Leuciscus leuciscus;0.443884164;0.324335707;0.359510662;0.476097198;4.559024887;0.551620454;0.226099646;0.163173148;2.808990347;40
Lota lota;Lota lota;0.481078462;0.524813967;0.782215076;0.773211219;7.373325701;0.649656554;0.658757871;0.123253268;1.758428693;152
Lucania parva;Lucania parva;0.559133759;0.492203082;0.168296951;0.50482058;3.646698228;0.586783449;0.375394814;0.177438578;1.621360188;5
Luciobarbus graellsii;Luciobarbus graellsii;0.328947368;0;0.386986842;0.317674074;3.608454416;0.429847235;0.270724575;0.16815047;2.001573651;80
