,BiogeoRegion,HydroBasin,DistKMEuclid,DistKMWater,DistDifference
44,NA,NA,18.52878363,NA,NA
42,USA,7080047060,459.32,1061.84,602.52
9,Europe,2080023010,89.73,422.27,332.54
7,Europe,2080021030,225.43,489.35,263.91
6,Europe,2080020590,127.46,336.93,209.46
8,Europe,2080022150,132.08,297.99,165.91
23,Europe,2080031060,98.91,242.93,144.02
1,Europe,2080016510,166.62,294.09,127.47
3,Europe,2080017150,35.48,156.63,121.15
24,Europe,2080031740,35.78,152.88,117.10
37,Europe,2080033320,143.25,251.92,108.67
26,Europe,2080031960,40.86,144.48,103.62
5,Europe,2080020330,72.89,171.03,98.13
40,Oceania,5080070390,65.91,154.19,88.28
41,Oceania,5080070440,36.72,96.16,59.43
12,Europe,2080030160,87.45,143.77,56.32
11,Europe,2080030100,71.79,125.85,54.06
31,Europe,2080033010,66.36,109.78,43.43
38,Europe,2080053790,43.89,84.57,40.68
29,Europe,2080032670,40.47,73.10,32.63
27,Europe,2080032230,43.46,75.42,31.96
28,Europe,2080032600,57.79,85.27,27.48
35,Europe,2080033120,22.21,40.93,18.71
43,USA,7080049270,76.30,92.88,16.58
33,Europe,2080033080,53.88,69.76,15.88
36,Europe,2080033190,24.60,38.94,14.34
15,Europe,2080030420,37.20,51.37,14.17
34,Europe,2080033090,8.52,21.68,13.16
4,Europe,2080020120,16.54,27.76,11.22
17,Europe,2080030560,21.21,31.67,10.47
14,Europe,2080030370,18.35,27.97,9.62
22,Europe,2080030760,26.65,33.51,6.86
18,Europe,2080030610,14.95,20.72,5.77
21,Europe,2080030710,23.01,28.46,5.46
32,Europe,2080033020,7.39,12.36,4.97
16,Europe,2080030460,11.06,14.90,3.83
39,Oceania,5080070260,8.18,11.90,3.71
10,Europe,2080029400,8.57,12.26,3.69
20,Europe,2080030660,16.33,19.66,3.34
13,Europe,2080030220,18.84,21.98,3.13
19,Europe,2080030630,15.17,17.20,2.03
2,Europe,2080016960,7.33,8.85,1.52
25,Europe,2080031750,2.08,2.82,0.74
30,Europe,2080032980,1.64,1.88,0.24